gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
944742	944742	GO:0008652;GO:0009088;GO:0031554;GO:0031555;GO:0031556	GO:0008652;GO:0009088;GO:0031554;GO:0031555;GO:0031556		
945803	945803	GO:0000166;GO:0003824;GO:0004072;GO:0004412;GO:0005524;GO:0006520;GO:0008652;GO:0009067;GO:0009085;GO:0009086;GO:0009088;GO:0009089;GO:0009090;GO:0016301;GO:0016491;GO:0016740;GO:0042802;GO:0046872;GO:0050661;GO:0051289;GO:0070403	GO:0006520;GO:0008652;GO:0009067;GO:0009085;GO:0009086;GO:0009088;GO:0009089;GO:0009090;GO:0051289	GO:0000166;GO:0003824;GO:0004072;GO:0004412;GO:0005524;GO:0016301;GO:0016491;GO:0016740;GO:0042802;GO:0046872;GO:0050661;GO:0070403	
947498	947498	GO:0000166;GO:0004413;GO:0005524;GO:0005737;GO:0005829;GO:0006566;GO:0008652;GO:0009088;GO:0016301;GO:0016740	GO:0006566;GO:0008652;GO:0009088	GO:0000166;GO:0004413;GO:0005524;GO:0016301;GO:0016740	GO:0005737;GO:0005829
945198	945198	GO:0004795;GO:0005829;GO:0006520;GO:0008652;GO:0009088;GO:0016829;GO:0030170	GO:0006520;GO:0008652;GO:0009088	GO:0004795;GO:0016829;GO:0030170	GO:0005829
944747	944747				
944749	944749	GO:0000217;GO:0003677;GO:0005737;GO:0005829;GO:0033194	GO:0033194	GO:0000217;GO:0003677	GO:0005737;GO:0005829
944745	944745	GO:0003333;GO:0005283;GO:0005886;GO:0006814;GO:0006865;GO:0015293;GO:0016020;GO:0035725;GO:0055085	GO:0003333;GO:0006814;GO:0006865;GO:0035725;GO:0055085	GO:0005283;GO:0015293	GO:0005886;GO:0016020
944748	944748	GO:0004801;GO:0005737;GO:0005829;GO:0005975;GO:0006098;GO:0009052;GO:0016020;GO:0016740;GO:0016744	GO:0005975;GO:0006098;GO:0009052	GO:0004801;GO:0016740;GO:0016744	GO:0005737;GO:0005829;GO:0016020
944760	944760	GO:0005829;GO:0032324;GO:0061598	GO:0032324	GO:0061598	GO:0005829
944792	944792	GO:0005886;GO:0006811;GO:0015293;GO:0015360;GO:0016020;GO:0022857;GO:0035433;GO:0071422;GO:1902600	GO:0006811;GO:0035433;GO:0071422;GO:1902600	GO:0015293;GO:0015360;GO:0022857	GO:0005886;GO:0016020
944771	944771				
948295	948295				
944751	944751				
944750	944750	GO:0000166;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0006260;GO:0006457;GO:0008270;GO:0009408;GO:0016020;GO:0016234;GO:0016887;GO:0016989;GO:0031072;GO:0032991;GO:0034620;GO:0042026;GO:0043335;GO:0043531;GO:0044183;GO:0045892;GO:0051082;GO:0051087;GO:0065003;GO:0140662;GO:1990169	GO:0006260;GO:0006457;GO:0009408;GO:0034620;GO:0042026;GO:0043335;GO:0045892;GO:0065003;GO:1990169	GO:0000166;GO:0005515;GO:0005524;GO:0008270;GO:0016887;GO:0016989;GO:0031072;GO:0043531;GO:0044183;GO:0051082;GO:0051087;GO:0140662	GO:0005737;GO:0005829;GO:0005886;GO:0016020;GO:0016234;GO:0032991
944753	944753	GO:0003756;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006260;GO:0006457;GO:0008270;GO:0009408;GO:0015035;GO:0016020;GO:0016032;GO:0016989;GO:0031072;GO:0032991;GO:0042026;GO:0042803;GO:0043335;GO:0045892;GO:0046872;GO:0051082;GO:0051087;GO:0065003	GO:0006260;GO:0006457;GO:0009408;GO:0016032;GO:0042026;GO:0043335;GO:0045892;GO:0065003	GO:0003756;GO:0005515;GO:0005524;GO:0008270;GO:0015035;GO:0016989;GO:0031072;GO:0042803;GO:0046872;GO:0051082;GO:0051087	GO:0005737;GO:0005829;GO:0016020;GO:0032991
944754	944754	GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196	GO:0006310;GO:0006313;GO:0032196	GO:0003677;GO:0004803	
2847744	2847744	GO:0005886;GO:0016020;GO:0042597			GO:0005886;GO:0016020;GO:0042597
944756	944756	GO:0005886;GO:0016020			GO:0005886;GO:0016020
2847745	2847745				
944758	944758	GO:0005886;GO:0006811;GO:0006814;GO:0006885;GO:0009651;GO:0010446;GO:0015081;GO:0015297;GO:0015385;GO:0016020;GO:0035725;GO:0051453;GO:0055085;GO:1901612	GO:0006811;GO:0006814;GO:0006885;GO:0009651;GO:0010446;GO:0035725;GO:0051453;GO:0055085	GO:0015081;GO:0015297;GO:0015385;GO:1901612	GO:0005886;GO:0016020
944757	944757	GO:0001216;GO:0003677;GO:0003700;GO:0005737;GO:0006355;GO:2000142;GO:2000144	GO:0006355;GO:2000142;GO:2000144	GO:0001216;GO:0003677;GO:0003700	GO:0005737
944743	944743	GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196	GO:0006310;GO:0006313;GO:0032196	GO:0003677;GO:0004803	
948449	948449	GO:0006310;GO:0006313;GO:0032196	GO:0006310;GO:0006313;GO:0032196		
944759	944759	GO:0000028;GO:0002181;GO:0003723;GO:0003735;GO:0005737;GO:0005829;GO:0005840;GO:0006412;GO:0008073;GO:0015935;GO:0019843;GO:0022627;GO:0070181;GO:1990904	GO:0000028;GO:0002181;GO:0006412	GO:0003723;GO:0003735;GO:0008073;GO:0019843;GO:0070181	GO:0005737;GO:0005829;GO:0005840;GO:0015935;GO:0022627;GO:1990904
949128	949128	GO:0006974	GO:0006974		
949129	949129	GO:0000166;GO:0003824;GO:0003919;GO:0005515;GO:0005524;GO:0006747;GO:0006771;GO:0008531;GO:0009231;GO:0009398;GO:0016301;GO:0016740;GO:0016779	GO:0006747;GO:0006771;GO:0009231;GO:0009398	GO:0000166;GO:0003824;GO:0003919;GO:0005515;GO:0005524;GO:0008531;GO:0016301;GO:0016740;GO:0016779	
944761	944761	GO:0000049;GO:0000166;GO:0002161;GO:0004812;GO:0004822;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006412;GO:0006418;GO:0006428;GO:0008270;GO:0016874;GO:0046677;GO:0046872;GO:0106074	GO:0006412;GO:0006418;GO:0006428;GO:0046677;GO:0106074	GO:0000049;GO:0000166;GO:0002161;GO:0004812;GO:0004822;GO:0005515;GO:0005524;GO:0008270;GO:0016874;GO:0046872	GO:0005737;GO:0005829
944800	944800	GO:0004175;GO:0004190;GO:0005886;GO:0006465;GO:0006508;GO:0008233;GO:0016020;GO:0016787	GO:0006465;GO:0006508	GO:0004175;GO:0004190;GO:0008233;GO:0016787	GO:0005886;GO:0016020
944807	944807	GO:0003755;GO:0005515;GO:0005829;GO:0016853;GO:0042026	GO:0042026	GO:0003755;GO:0005515;GO:0016853	GO:0005829
944777	944777	GO:0005737;GO:0005829;GO:0008299;GO:0016114;GO:0016491;GO:0019288;GO:0046872;GO:0050992;GO:0051536;GO:0051538;GO:0051539;GO:0051745	GO:0008299;GO:0016114;GO:0019288;GO:0050992	GO:0016491;GO:0046872;GO:0051536;GO:0051538;GO:0051539;GO:0051745	GO:0005737;GO:0005829
944796	944796	GO:0005829;GO:0006144;GO:0006152;GO:0006206;GO:0006974;GO:0008477;GO:0016787;GO:0016798;GO:0016799;GO:0042454;GO:0045437;GO:0047622;GO:0047724;GO:0050263	GO:0006144;GO:0006152;GO:0006206;GO:0006974;GO:0042454	GO:0008477;GO:0016787;GO:0016798;GO:0016799;GO:0045437;GO:0047622;GO:0047724;GO:0050263	GO:0005829
