aspect,go_id,count
BP,GO:0055085,383
BP,GO:0006355,304
BP,GO:0006974,253
BP,GO:0045892,118
BP,GO:0006811,114
BP,GO:0006310,108
BP,GO:0008652,107
BP,GO:0005975,107
BP,GO:0006412,104
BP,GO:0046677,101
BP,GO:0006865,91
BP,GO:0006508,91
BP,GO:0045893,84
BP,GO:0006281,84
BP,GO:0071555,78
BP,GO:0006629,77
BP,GO:0051301,76
BP,GO:0006351,74
BP,GO:0000160,72
BP,GO:0015031,68
BP,GO:0009103,68
BP,GO:1902600,67
BP,GO:0009061,67
BP,GO:0009401,60
BP,GO:0032196,58
BP,GO:0032259,58
BP,GO:0008033,58
BP,GO:0009408,55
BP,GO:0002181,55
BP,GO:0044010,54
BP,GO:0006979,53
BP,GO:0006313,52
BP,GO:0009252,52
BP,GO:0008360,49
BP,GO:0051289,48
BP,GO:0019645,48
BP,GO:0015833,46
BP,GO:0007155,46
BP,GO:0006260,45
BP,GO:0043709,45
BP,GO:0009314,45
BP,GO:0006950,43
BP,GO:0006364,41
BP,GO:0071973,41
BP,GO:0006457,40
BP,GO:0007165,40
BP,GO:0006935,36
BP,GO:0043093,35
BP,GO:0015074,33
BP,GO:0006099,32
BP,GO:0006826,32
BP,GO:0009432,31
BP,GO:0006879,31
BP,GO:0006631,31
BP,GO:0006417,30
BP,GO:0006520,29
BP,GO:0006396,28
BP,GO:0042254,28
BP,GO:0000027,28
BP,GO:0003333,27
BP,GO:0046835,27
BP,GO:0046777,27
BP,GO:0009636,26
BP,GO:0009244,26
BP,GO:0006259,26
BP,GO:0034220,26
BP,GO:0022904,26
BP,GO:0042128,26
BP,GO:0006261,25
BP,GO:0009060,25
BP,GO:0044780,25
BP,GO:0009245,24
BP,GO:0051604,24
BP,GO:0000270,24
BP,GO:1990961,24
BP,GO:0009410,23
BP,GO:0008643,23
BP,GO:0016226,23
BP,GO:0000271,23
BP,GO:0071978,23
BP,GO:0044281,22
BP,GO:0006400,22
BP,GO:0010468,22
BP,GO:0040008,22
BP,GO:0006813,21
BP,GO:0008654,21
BP,GO:1900190,21
BP,GO:0009073,21
BP,GO:0018106,21
BP,GO:0007059,21
BP,GO:0015944,21
BP,GO:2000142,20
BP,GO:0000917,20
BP,GO:0036460,20
BP,GO:0031564,20
BP,GO:0042908,20
BP,GO:0009242,20
BP,GO:0000028,19
BP,GO:0006418,19
BP,GO:0015949,19
BP,GO:0070475,19
BP,GO:0006633,19
BP,GO:0006744,19
BP,GO:0071468,19
BP,GO:0035442,19
BP,GO:0071805,18
BP,GO:0009082,18
BP,GO:0009254,18
BP,GO:0006164,18
BP,GO:0098869,18
BP,GO:0044781,18
BP,GO:0006814,17
BP,GO:0043165,17
BP,GO:0009451,17
BP,GO:0034219,17
BP,GO:0019752,17
BP,GO:1901135,17
BP,GO:0045454,17
BP,GO:0000725,17
BP,GO:0015847,17
BP,GO:0046336,17
BP,GO:0009086,16
BP,GO:0010165,16
BP,GO:2000143,16
BP,GO:0015628,16
BP,GO:0033214,16
BP,GO:0030488,16
BP,GO:0006402,16
BP,GO:0006970,16
BP,GO:0034599,16
BP,GO:0009411,16
BP,GO:0006096,16
BP,GO:0006007,16
BP,GO:0006635,15
BP,GO:0031167,15
BP,GO:0090529,15
BP,GO:0009253,15
BP,GO:0009297,15
BP,GO:0006779,15
BP,GO:0017148,15
BP,GO:0010447,15
BP,GO:1902201,15
BP,GO:0034605,15
BP,GO:0015721,15
BP,GO:0042938,15
BP,GO:0006094,15
BP,GO:0009409,15
BP,GO:0010124,15
BP,GO:0016052,14
BP,GO:0009306,14
BP,GO:0009228,14
BP,GO:0019646,14
BP,GO:0017004,14
BP,GO:0009246,14
BP,GO:0006352,14
BP,GO:0065003,13
BP,GO:2000144,13
BP,GO:0006526,13
BP,GO:0009437,13
BP,GO:0005996,13
BP,GO:0009117,13
BP,GO:0046688,13
BP,GO:0006401,13
BP,GO:0022900,13
BP,GO:0140330,13
BP,GO:0034214,13
BP,GO:0006777,13
BP,GO:0051607,13
BP,GO:0006071,13
BP,GO:0009089,12
BP,GO:0035725,12
BP,GO:0042026,12
BP,GO:0006144,12
BP,GO:0006812,12
BP,GO:0042542,12
BP,GO:0006730,12
BP,GO:0001522,12
BP,GO:0009097,12
BP,GO:0006302,12
BP,GO:0006298,12
BP,GO:0002098,12
BP,GO:0046718,12
BP,GO:1902021,12
BP,GO:0006790,12
BP,GO:0030091,12
BP,GO:0006189,12
BP,GO:0006006,12
BP,GO:0097588,12
BP,GO:0070301,12
BP,GO:0009307,12
BP,GO:0045333,12
BP,GO:0009085,11
BP,GO:0008299,11
BP,GO:0006221,11
BP,GO:0010212,11
BP,GO:0009099,11
BP,GO:0015976,11
BP,GO:0098655,11
BP,GO:0019380,11
BP,GO:0009267,11
BP,GO:0009423,11
BP,GO:0006817,11
BP,GO:0032784,11
BP,GO:0009229,11
BP,GO:0016042,11
BP,GO:0031460,11
BP,GO:0009372,11
BP,GO:1990539,11
BP,GO:0006098,10
BP,GO:0046656,10
BP,GO:0046654,10
BP,GO:0071897,10
BP,GO:0065002,10
BP,GO:0006415,10
BP,GO:0006525,10
