seq_id,feature_type,start,end,strand,geneid,locus_tag,gene,protein_id,product,normalized_label,normalized_quality,go_terms,go_bp,go_mf,go_cc,goslim_terms
NP_414542.1,CDS,190,255,+,944742,b0001,thrL,NP_414542.1,thr operon leader peptide,other,low,GO:0008652;GO:0009088;GO:0031554;GO:0031555;GO:0031556,GO:0008652;GO:0009088;GO:0031554;GO:0031555;GO:0031556,,,GO:0006355;GO:0006520
NP_414543.1,CDS,337,2799,+,945803,b0002,thrA,NP_414543.1,fused aspartate kinase/homoserine dehydrogenase 1,kinase,medium,GO:0000166;GO:0003824;GO:0004072;GO:0004412;GO:0005524;GO:0006520;GO:0008652;GO:0009067;GO:0009085;GO:0009086;GO:0009088;GO:0009089;GO:0009090;GO:0016301;GO:0016491;GO:0016740;GO:0042802;GO:0046872;GO:0050661;GO:0051289;GO:0070403,GO:0006520;GO:0008652;GO:0009067;GO:0009085;GO:0009086;GO:0009088;GO:0009089;GO:0009090;GO:0051289,GO:0000166;GO:0003824;GO:0004072;GO:0004412;GO:0005524;GO:0016301;GO:0016491;GO:0016740;GO:0042802;GO:0046872;GO:0050661;GO:0070403,,GO:0003824;GO:0006520;GO:0006790;GO:0016491;GO:0016740;GO:0065003
NP_414544.1,CDS,2801,3733,+,947498,b0003,thrB,NP_414544.1,homoserine kinase,kinase,medium,GO:0000166;GO:0004413;GO:0005524;GO:0005737;GO:0005829;GO:0006566;GO:0008652;GO:0009088;GO:0016301;GO:0016740,GO:0006566;GO:0008652;GO:0009088,GO:0000166;GO:0004413;GO:0005524;GO:0016301;GO:0016740,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0006520;GO:0016740
NP_414545.1,CDS,3734,5020,+,945198,b0004,thrC,NP_414545.1,threonine synthase,synthase,low,GO:0004795;GO:0005829;GO:0006520;GO:0008652;GO:0009088;GO:0016829;GO:0030170,GO:0006520;GO:0008652;GO:0009088,GO:0004795;GO:0016829;GO:0030170,GO:0005829,GO:0003824;GO:0005829;GO:0006520;GO:0016829
NP_414546.1,CDS,5234,5530,+,944747,b0005,yaaX,NP_414546.1,DUF2502 domain-containing protein YaaX,other,low,,,,,
NP_414547.1,CDS,5683,6459,-,944749,b0006,yaaA,NP_414547.1,DNA binding and peroxide stress response proteinYaaA,other,low,GO:0000217;GO:0003677;GO:0005737;GO:0005829;GO:0033194,GO:0033194,GO:0000217;GO:0003677,GO:0005737;GO:0005829,GO:0003677;GO:0005829
NP_414548.1,CDS,6529,7959,-,944745,b0007,yaaJ,NP_414548.1,putative transporter YaaJ,low_info,low,GO:0003333;GO:0005283;GO:0005886;GO:0006814;GO:0006865;GO:0015293;GO:0016020;GO:0035725;GO:0055085,GO:0003333;GO:0006814;GO:0006865;GO:0035725;GO:0055085,GO:0005283;GO:0015293,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414549.1,CDS,8238,9191,+,944748,b0008,talB,NP_414549.1,transaldolase B,other,low,GO:0004801;GO:0005737;GO:0005829;GO:0005975;GO:0006098;GO:0009052;GO:0016020;GO:0016740;GO:0016744,GO:0005975;GO:0006098;GO:0009052,GO:0004801;GO:0016740;GO:0016744,GO:0005737;GO:0005829;GO:0016020,GO:0003824;GO:0005829;GO:0005975;GO:0006091;GO:0016740;GO:0055086;GO:1901135
NP_414550.1,CDS,9306,9893,+,944760,b0009,mog,NP_414550.1,molybdopterin adenylyltransferase,transferase,low,GO:0005829;GO:0032324;GO:0061598,GO:0032324,GO:0061598,GO:0005829,GO:0003824;GO:0005829;GO:0016740
NP_414551.1,CDS,9928,10494,-,944792,b0010,satP,NP_414551.1,acetate/succinate:H(+) symporter,transporter,medium,GO:0005886;GO:0006811;GO:0015293;GO:0015360;GO:0016020;GO:0022857;GO:0035433;GO:0071422;GO:1902600,GO:0006811;GO:0035433;GO:0071422;GO:1902600,GO:0015293;GO:0015360;GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414552.1,CDS,10643,11356,-,944771,b0011,yaaW,NP_414552.1,putative enzyme-specific chaperone YaaW,low_info,low,,,,,
YP_009518733.1,CDS,10830,11315,+,948295,b0012,mbiA,YP_009518733.1,uncharacterized protein MbiA,low_info,low,,,,,
NP_414554.1,CDS,11382,11786,-,944751,b0013,yaaI,NP_414554.1,DUF2541 domain-containing protein YaaI,other,low,,,,,
NP_414555.1,CDS,12163,14079,+,944750,b0014,dnaK,NP_414555.1,chaperone protein DnaK,chaperone,medium,GO:0000166;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0006260;GO:0006457;GO:0008270;GO:0009408;GO:0016020;GO:0016234;GO:0016887;GO:0016989;GO:0031072;GO:0032991;GO:0034620;GO:0042026;GO:0043335;GO:0043531;GO:0044183;GO:0045892;GO:0051082;GO:0051087;GO:0065003;GO:0140662;GO:1990169,GO:0006260;GO:0006457;GO:0009408;GO:0034620;GO:0042026;GO:0043335;GO:0045892;GO:0065003;GO:1990169,GO:0000166;GO:0005515;GO:0005524;GO:0008270;GO:0016887;GO:0016989;GO:0031072;GO:0043531;GO:0044183;GO:0051082;GO:0051087;GO:0140662,GO:0005737;GO:0005829;GO:0005886;GO:0016020;GO:0016234;GO:0032991,GO:0003824;GO:0005829;GO:0005886;GO:0006260;GO:0006355;GO:0006457;GO:0016787;GO:0044183;GO:0051604;GO:0060090;GO:0065003;GO:0140110;GO:0140657
NP_414556.1,CDS,14168,15298,+,944753,b0015,dnaJ,NP_414556.1,chaperone protein DnaJ,chaperone,medium,GO:0003756;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006260;GO:0006457;GO:0008270;GO:0009408;GO:0015035;GO:0016020;GO:0016032;GO:0016989;GO:0031072;GO:0032991;GO:0042026;GO:0042803;GO:0043335;GO:0045892;GO:0046872;GO:0051082;GO:0051087;GO:0065003,GO:0006260;GO:0006457;GO:0009408;GO:0016032;GO:0042026;GO:0043335;GO:0045892;GO:0065003,GO:0003756;GO:0005515;GO:0005524;GO:0008270;GO:0015035;GO:0016989;GO:0031072;GO:0042803;GO:0046872;GO:0051082;GO:0051087,GO:0005737;GO:0005829;GO:0016020;GO:0032991,GO:0003824;GO:0005829;GO:0006260;GO:0006355;GO:0006457;GO:0016491;GO:0016853;GO:0051604;GO:0060090;GO:0065003;GO:0140096;GO:0140110
NP_414557.1,CDS,15445,16557,+,944754,b0016,insL1,NP_414557.1,IS186/IS421 family transposase,transposase,high,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_414559.1,CDS,16751,16960,-,944756,b0018,mokC,NP_414559.1,regulatory protein MokC,other,low,GO:0005886;GO:0016020,,,GO:0005886;GO:0016020,GO:0005886
NP_414560.1,CDS,17489,18655,+,944758,b0019,nhaA,NP_414560.1,Na(+):H(+) antiporter NhaA,transporter,medium,GO:0005886;GO:0006811;GO:0006814;GO:0006885;GO:0009651;GO:0010446;GO:0015081;GO:0015297;GO:0015385;GO:0016020;GO:0035725;GO:0051453;GO:0055085;GO:1901612,GO:0006811;GO:0006814;GO:0006885;GO:0009651;GO:0010446;GO:0035725;GO:0051453;GO:0055085,GO:0015081;GO:0015297;GO:0015385;GO:1901612,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0008289;GO:0055085
NP_414561.1,CDS,18715,19620,+,944757,b0020,nhaR,NP_414561.1,DNA-binding transcriptional activator NhaR,transcriptional_regulator,high,GO:0001216;GO:0003677;GO:0003700;GO:0005737;GO:0006355;GO:2000142;GO:2000144,GO:0006355;GO:2000142;GO:2000144,GO:0001216;GO:0003677;GO:0003700,GO:0005737,GO:0003677;GO:0006355;GO:0140110
NP_414562.1,CDS,19811,20314,-,944743,b0021,insB1,NP_414562.1,IS1 family protein InsB,other,low,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_414563.1,CDS,20233,20508,-,948449,b0022,insA1,NP_414563.1,IS1 family protein InsA,other,low,GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,,,GO:0006310
NP_414564.1,CDS,20815,21078,-,944759,b0023,rpsT,NP_414564.1,30S ribosomal subunit protein S20,other,low,GO:0000028;GO:0002181;GO:0003723;GO:0003735;GO:0005737;GO:0005829;GO:0005840;GO:0006412;GO:0008073;GO:0015935;GO:0019843;GO:0022627;GO:0070181;GO:1990904,GO:0000028;GO:0002181;GO:0006412,GO:0003723;GO:0003735;GO:0008073;GO:0019843;GO:0070181,GO:0005737;GO:0005829;GO:0005840;GO:0015935;GO:0022627;GO:1990904,GO:0002181;GO:0003723;GO:0005198;GO:0005829;GO:0005840;GO:0042254;GO:0043226;GO:0065003;GO:0098772
NP_414565.1,CDS,21181,21399,+,949128,b0024,yaaY,NP_414565.1,DUF2575 domain-containing protein YaaY,other,low,GO:0006974,GO:0006974,,,
NP_414566.1,CDS,21407,22348,+,949129,b0025,ribF,NP_414566.1,bifunctional riboflavin kinase/FMN adenylyltransferase,kinase,medium,GO:0000166;GO:0003824;GO:0003919;GO:0005515;GO:0005524;GO:0006747;GO:0006771;GO:0008531;GO:0009231;GO:0009398;GO:0016301;GO:0016740;GO:0016779,GO:0006747;GO:0006771;GO:0009231;GO:0009398,GO:0000166;GO:0003824;GO:0003919;GO:0005515;GO:0005524;GO:0008531;GO:0016301;GO:0016740;GO:0016779,,GO:0003824;GO:0006766;GO:0016740;GO:0055086;GO:1901135
NP_414567.1,CDS,22391,25207,+,944761,b0026,ileS,NP_414567.1,isoleucine--tRNA ligase,trna,high,GO:0000049;GO:0000166;GO:0002161;GO:0004812;GO:0004822;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006412;GO:0006418;GO:0006428;GO:0008270;GO:0016874;GO:0046677;GO:0046872;GO:0106074,GO:0006412;GO:0006418;GO:0006428;GO:0046677;GO:0106074,GO:0000049;GO:0000166;GO:0002161;GO:0004812;GO:0004822;GO:0005515;GO:0005524;GO:0008270;GO:0016874;GO:0046872,GO:0005737;GO:0005829,GO:0003723;GO:0003824;GO:0005829;GO:0006399;GO:0006520;GO:0016787;GO:0016874;GO:0140098
NP_414568.1,CDS,25207,25701,+,944800,b0027,lspA,NP_414568.1,lipoprotein signal peptidase,protease,medium,GO:0004175;GO:0004190;GO:0005886;GO:0006465;GO:0006508;GO:0008233;GO:0016020;GO:0016787,GO:0006465;GO:0006508,GO:0004175;GO:0004190;GO:0008233;GO:0016787,GO:0005886;GO:0016020,GO:0003824;GO:0005886;GO:0016787;GO:0051604;GO:0140096
