gene_key	gene_name	chrom	start	end	strand	length	tax_id	entrez_gene_id
944742	thrL	NC_000913.3	190	255	+	66	511145	944742
945803	thrA	NC_000913.3	337	2799	+	2463	511145	945803
947498	thrB	NC_000913.3	2801	3733	+	933	511145	947498
945198	thrC	NC_000913.3	3734	5020	+	1287	511145	945198
944747	yaaX	NC_000913.3	5234	5530	+	297	511145	944747
944749	yaaA	NC_000913.3	5683	6459	-	777	511145	944749
944745	yaaJ	NC_000913.3	6529	7959	-	1431	511145	944745
944748	talB	NC_000913.3	8238	9191	+	954	511145	944748
944760	mog	NC_000913.3	9306	9893	+	588	511145	944760
944792	satP	NC_000913.3	9928	10494	-	567	511145	944792
944771	yaaW	NC_000913.3	10643	11356	-	714	511145	944771
948295	mbiA	NC_000913.3	10830	11315	+	486	511145	948295
944751	yaaI	NC_000913.3	11382	11786	-	405	511145	944751
944750	dnaK	NC_000913.3	12163	14079	+	1917	511145	944750
944753	dnaJ	NC_000913.3	14168	15298	+	1131	511145	944753
944754	insL1	NC_000913.3	15445	16557	+	1113	511145	944754
2847744	hokC	NC_000913.3	16751	16903	-	153	511145	2847744
944756	mokC	NC_000913.3	16751	16960	-	210	511145	944756
2847745	sokC	NC_000913.3	16952	17010	+	59	511145	2847745
944758	nhaA	NC_000913.3	17489	18655	+	1167	511145	944758
944757	nhaR	NC_000913.3	18715	19620	+	906	511145	944757
944743	insB1	NC_000913.3	19811	20314	-	504	511145	944743
948449	insA1	NC_000913.3	20233	20508	-	276	511145	948449
944759	rpsT	NC_000913.3	20815	21078	-	264	511145	944759
949128	yaaY	NC_000913.3	21181	21399	+	219	511145	949128
949129	ribF	NC_000913.3	21407	22348	+	942	511145	949129
944761	ileS	NC_000913.3	22391	25207	+	2817	511145	944761
944800	lspA	NC_000913.3	25207	25701	+	495	511145	944800
944807	fkpB	NC_000913.3	25826	26275	+	450	511145	944807
944777	ispH	NC_000913.3	26277	27227	+	951	511145	944777
944796	rihC	NC_000913.3	27293	28207	+	915	511145	944796
944762	dapB	NC_000913.3	28374	29195	+	822	511145	944762
949025	carA	NC_000913.3	29651	30799	+	1149	511145	949025
944775	carB	NC_000913.3	30817	34038	+	3222	511145	944775
944795	caiF	NC_000913.3	34300	34695	+	396	511145	944795
948999	caiE	NC_000913.3	34781	35371	-	591	511145	948999
948995	caiD	NC_000913.3	35377	36162	-	786	511145	948995
944886	caiC	NC_000913.3	36271	37824	-	1554	511145	944886
948997	caiB	NC_000913.3	37898	39115	-	1218	511145	948997
949064	caiA	NC_000913.3	39244	40386	-	1143	511145	949064
944765	caiT	NC_000913.3	40417	41931	-	1515	511145	944765
947316	fixA	NC_000913.3	42403	43173	+	771	511145	947316
948939	fixB	NC_000913.3	43188	44129	+	942	511145	948939
948958	fixC	NC_000913.3	44180	45466	+	1287	511145	948958
948590	fixX	NC_000913.3	45463	45750	+	288	511145	948590
944766	yaaU	NC_000913.3	45807	47138	+	1332	511145	944766
944767	kefF	NC_000913.3	47246	47776	+	531	511145	944767
944773	kefC	NC_000913.3	47769	49631	+	1863	511145	944773
944790	folA	NC_000913.3	49823	50302	+	480	511145	944790
944770	apaH	NC_000913.3	50380	51222	-	843	511145	944770
944772	apaG	NC_000913.3	51229	51606	-	378	511145	944772
