gene_key	gene_name	chrom	start	end	strand	source	tax_id	entrez_gene_id
944742	thrL	NC_000913.3	190	255	+	RefSeq	511145	944742
945803	thrA	NC_000913.3	337	2799	+	RefSeq	511145	945803
947498	thrB	NC_000913.3	2801	3733	+	RefSeq	511145	947498
945198	thrC	NC_000913.3	3734	5020	+	RefSeq	511145	945198
944747	yaaX	NC_000913.3	5234	5530	+	RefSeq	511145	944747
944749	yaaA	NC_000913.3	5683	6459	-	RefSeq	511145	944749
944745	yaaJ	NC_000913.3	6529	7959	-	RefSeq	511145	944745
944748	talB	NC_000913.3	8238	9191	+	RefSeq	511145	944748
944760	mog	NC_000913.3	9306	9893	+	RefSeq	511145	944760
944792	satP	NC_000913.3	9928	10494	-	RefSeq	511145	944792
944771	yaaW	NC_000913.3	10643	11356	-	RefSeq	511145	944771
948295	mbiA	NC_000913.3	10830	11315	+	RefSeq	511145	948295
944751	yaaI	NC_000913.3	11382	11786	-	RefSeq	511145	944751
944750	dnaK	NC_000913.3	12163	14079	+	RefSeq	511145	944750
944753	dnaJ	NC_000913.3	14168	15298	+	RefSeq	511145	944753
944754	insL1	NC_000913.3	15445	16557	+	RefSeq	511145	944754
2847744	hokC	NC_000913.3	16751	16903	-	RefSeq	511145	2847744
944756	mokC	NC_000913.3	16751	16960	-	RefSeq	511145	944756
2847745	sokC	NC_000913.3	16952	17010	+	RefSeq	511145	2847745
944758	nhaA	NC_000913.3	17489	18655	+	RefSeq	511145	944758
944757	nhaR	NC_000913.3	18715	19620	+	RefSeq	511145	944757
944743	insB1	NC_000913.3	19811	20314	-	RefSeq	511145	944743
948449	insA1	NC_000913.3	20233	20508	-	RefSeq	511145	948449
944759	rpsT	NC_000913.3	20815	21078	-	RefSeq	511145	944759
949128	yaaY	NC_000913.3	21181	21399	+	RefSeq	511145	949128
949129	ribF	NC_000913.3	21407	22348	+	RefSeq	511145	949129
944761	ileS	NC_000913.3	22391	25207	+	RefSeq	511145	944761
944800	lspA	NC_000913.3	25207	25701	+	RefSeq	511145	944800
944807	fkpB	NC_000913.3	25826	26275	+	RefSeq	511145	944807
944777	ispH	NC_000913.3	26277	27227	+	RefSeq	511145	944777
944796	rihC	NC_000913.3	27293	28207	+	RefSeq	511145	944796
944762	dapB	NC_000913.3	28374	29195	+	RefSeq	511145	944762
949025	carA	NC_000913.3	29651	30799	+	RefSeq	511145	949025
944775	carB	NC_000913.3	30817	34038	+	RefSeq	511145	944775
944795	caiF	NC_000913.3	34300	34695	+	RefSeq	511145	944795
948999	caiE	NC_000913.3	34781	35371	-	RefSeq	511145	948999
948995	caiD	NC_000913.3	35377	36162	-	RefSeq	511145	948995
944886	caiC	NC_000913.3	36271	37824	-	RefSeq	511145	944886
948997	caiB	NC_000913.3	37898	39115	-	RefSeq	511145	948997
949064	caiA	NC_000913.3	39244	40386	-	RefSeq	511145	949064
944765	caiT	NC_000913.3	40417	41931	-	RefSeq	511145	944765
947316	fixA	NC_000913.3	42403	43173	+	RefSeq	511145	947316
948939	fixB	NC_000913.3	43188	44129	+	RefSeq	511145	948939
948958	fixC	NC_000913.3	44180	45466	+	RefSeq	511145	948958
948590	fixX	NC_000913.3	45463	45750	+	RefSeq	511145	948590
944766	yaaU	NC_000913.3	45807	47138	+	RefSeq	511145	944766
944767	kefF	NC_000913.3	47246	47776	+	RefSeq	511145	944767
944773	kefC	NC_000913.3	47769	49631	+	RefSeq	511145	944773
944790	folA	NC_000913.3	49823	50302	+	RefSeq	511145	944790
944770	apaH	NC_000913.3	50380	51222	-	RefSeq	511145	944770
944772	apaG	NC_000913.3	51229	51606	-	RefSeq	511145	944772
944939	rsmA	NC_000913.3	51609	52430	-	RefSeq	511145	944939
944919	pdxA	NC_000913.3	52427	53416	-	RefSeq	511145	944919
944812	surA	NC_000913.3	53416	54702	-	RefSeq	511145	944812
945011	lptD	NC_000913.3	54755	57109	-	RefSeq	511145	945011
948992	djlA	NC_000913.3	57364	58179	+	RefSeq	511145	948992
945039	yabP	NC_000913.3	58474	59124	+	RefSeq	511145	945039
38094933	yabQ	NC_000913.3	59121	59279	+	RefSeq	511145	38094933
946262	rluA	NC_000913.3	59687	60346	-	RefSeq	511145	946262
948523	rapA	NC_000913.3	60358	63264	-	RefSeq	511145	948523
944779	polB	NC_000913.3	63429	65780	-	RefSeq	511145	944779
945294	araD	NC_000913.3	65855	66550	-	RefSeq	511145	945294
947511	araA	NC_000913.3	66835	68337	-	RefSeq	511145	947511
946017	araB	NC_000913.3	68348	70048	-	RefSeq	511145	946017
944780	araC	NC_000913.3	70387	71265	+	RefSeq	511145	944780
944783	yabI	NC_000913.3	71351	72115	+	RefSeq	511145	944783
944785	thiQ	NC_000913.3	72229	72927	-	RefSeq	511145	944785
944784	thiP	NC_000913.3	72911	74521	-	RefSeq	511145	944784
946306	thiB	NC_000913.3	74497	75480	-	RefSeq	511145	946306
63925622	sroA	NC_000913.3	75516	75608	-	RefSeq	511145	63925622
944788	sgrR	NC_000913.3	75644	77299	-	RefSeq	511145	944788
4056038	sgrS	NC_000913.3	77367	77593	+	RefSeq	511145	4056038
7751624	sgrT	NC_000913.3	77388	77519	+	RefSeq	511145	7751624
944793	setA	NC_000913.3	77621	78799	+	RefSeq	511145	944793
945642	leuD	NC_000913.3	78848	79453	-	RefSeq	511145	945642
945076	leuC	NC_000913.3	79464	80864	-	RefSeq	511145	945076
944798	leuB	NC_000913.3	80867	81958	-	RefSeq	511145	944798
947465	leuA	NC_000913.3	81958	83529	-	RefSeq	511145	947465
946072	leuL	NC_000913.3	83622	83708	-	RefSeq	511145	946072
949034	leuO	NC_000913.3	84368	85312	+	RefSeq	511145	949034
38094934	yabR	NC_000913.3	85467	85511	-	RefSeq	511145	38094934
948793	ilvI	NC_000913.3	85630	87354	+	RefSeq	511145	948793
947267	ilvH	NC_000913.3	87357	87848	+	RefSeq	511145	947267
944804	cra	NC_000913.3	88028	89032	+	RefSeq	511145	944804
944810	mraZ	NC_000913.3	89634	90092	+	RefSeq	511145	944810
944806	rsmH	NC_000913.3	90094	91035	+	RefSeq	511145	944806
944803	ftsL	NC_000913.3	91032	91397	+	RefSeq	511145	944803
944799	ftsI	NC_000913.3	91413	93179	+	RefSeq	511145	944799
71004551	ftsO	NC_000913.3	92485	92658	+	RefSeq	511145	71004551
944791	murE	NC_000913.3	93166	94653	+	RefSeq	511145	944791
944813	murF	NC_000913.3	94650	96008	+	RefSeq	511145	944813
944814	mraY	NC_000913.3	96002	97084	+	RefSeq	511145	944814
944818	murD	NC_000913.3	97087	98403	+	RefSeq	511145	944818
946322	ftsW	NC_000913.3	98403	99647	+	RefSeq	511145	946322
946321	murG	NC_000913.3	99644	100711	+	RefSeq	511145	946321
946153	murC	NC_000913.3	100765	102240	+	RefSeq	511145	946153
946324	ddlB	NC_000913.3	102233	103153	+	RefSeq	511145	946324
944823	ftsQ	NC_000913.3	103155	103985	+	RefSeq	511145	944823
944778	ftsA	NC_000913.3	103982	105244	+	RefSeq	511145	944778
302211663	stfZ	NC_000913.3	104948	105499	-	RefSeq	511145	302211663
944786	ftsZ	NC_000913.3	105305	106456	+	RefSeq	511145	944786
944816	lpxC	NC_000913.3	106557	107474	+	RefSeq	511145	944816
944831	secM	NC_000913.3	107705	108217	+	RefSeq	511145	944831
944821	secA	NC_000913.3	108279	110984	+	RefSeq	511145	944821
944824	mutT	NC_000913.3	111044	111433	+	RefSeq	511145	944824
945630	yacG	NC_000913.3	111649	111846	-	RefSeq	511145	945630
944873	zapD	NC_000913.3	111856	112599	-	RefSeq	511145	944873
949060	coaE	NC_000913.3	112599	113219	-	RefSeq	511145	949060
38094935	yacM	NC_000913.3	113244	113288	+	RefSeq	511145	38094935
948986	guaC	NC_000913.3	113444	114487	+	RefSeq	511145	948986
